Simulated Annealing
{'Tf': 0.001, 'steps': 1000, 'T0': 3, 'dump': 'utils/sa12.txt'}
<class 'ising.SpinGlass'>(data_file="sample_data/ising12.txt", spin_configuration="0xe3cf55734502689b3c4c1e48cf8bfbc4bf9a")
3,-10.13788,0xe3cf55734502689b3c4c1e48cf8bfbc4bf9a
3.0,-10.25848,0xe3cf55734502689b3c4c1a48cf8bfbc4bf9a
2.99099399399,-17.84108,0xe3cf55734502681b3c4c1a48cf8bfbc4bf9a
2.98799199199,-16.4521,0xe3cf55734502481b3c4c1a48cf8bfbc4bf9a
2.98198798799,-10.57006,0xe3cf557345024c1b3c4c1a48cf8bfbc4bf9a
2.97898598599,-12.79092,0xe3cf557345024c1b3c5c1a48cf8bfbc4bf9a
2.97598398398,-20.8884,0xe3cf557345024c1b3c5c1a48cf8bfbc5bf9a
2.96697797798,-22.32394,0xe3cf557345024c1b3c5c1b48cf8bfbc5bf9a
2.96397597598,-25.27218,0xe3cf557345024c1b3c5c1b48cf8bfbc5bb9a
2.96097397397,-29.48104,0xe3cf557345024c1b3c5c1b484f8bfbc5bb9a
2.95797197197,-34.67666,0xe3cf557345024c1b3c5c1b484f8bfb45bb9a
2.95496996997,-39.35902,0xe3cf557345024c1b3c5c1b484f8bfb45bb1a
2.95196796797,-39.7241,0xe3cf557345024c1b3c5c1b484f8bfa45bb1a
2.93995995996,-41.11308,0xe3cf557345026c1b3c5c1b484f8bfa45bb1a
2.93695795796,-44.55614,0xe3cf457345026c1b3c5c1b484f8bfa45bb1a
2.93395595596,-41.68106,0xe3cf457345026c1b3c5c1b484f8bea45bb1a
2.92494994995,-41.1897,0xe3cf457345026c1b3c5c1b484f8bea45fb1a
2.92194794795,-43.59386,0xe3cf457345026c1b3c5c1b484f8bea45fb12
2.91894594595,-47.65484,0xe3cf457305026c1b3c5c1b484f8bea45fb12
2.91594394394,-53.03542,0xf3cf457305026c1b3c5c1b484f8bea45fb12
2.90693793794,-61.00056,0xf3cf457305026c1b3c5c1b484f8bea45fb32
2.90393593594,-61.6196,0xf3cf457305026c1b3c5c1b404f8bea45fb32
2.90093393393,-68.69102,0xf7cf457305026c1b3c5c1b404f8bea45fb32
2.89192792793,-66.28314,0xffcf457305026c1b3c5c1b404f8bea45fb32
2.87991991992,-72.27982,0xffcf457385026c1b3c5c1b404f8bea45fb32
2.87691791792,-75.12366,0xffcf457385026c1b3c5c1b404e8bea45fb32
2.87391591592,-66.6769,0xffcf457385026c1b3e5c1b404e8bea45fb32
2.87091391391,-66.86238,0xffcf457385026c1b3e5c1b404e8bea44fb32
